pdg_id,pdg_name,name,charge,rank,quarks,mass,mass_lower,mass_upper,width,width_lower,width_upper
-2212,p,anti_proton,-1.0,4,UUD,938.27208816,2.9e-07,2.9e-07,0.0,0.0,0.0
-2112,n,anti_neutron,0.0,4,UDD,939.5654205,5e-07,5e-07,7.493e-25,4e-28,4e-28
-321,K,kaon-,-1.0,0,Us,493.677,0.016,0.016,5.317e-14,9e-17,9e-17
-211,pi,pion0,-1.0,0,Ud,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18
-24,W,W-,-1.0,0,-,80379.0,12.0,12.0,2080.0,40.0,40.0
-16,nu(tau),anti_tau_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0
-15,tau,anti_tau,1.0,0,-,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12
-14,nu(mu),anti_muon_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0
-13,mu,anti_muon,1.0,0,-,105.6583755,2.3e-06,2.3e-06,2.9959836e-16,3e-22,3e-22
-12,nu(e),anti_electron_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0
-11,e,anti_electron (positron),1.0,0,-,0.51099895,1.5e-10,1.5e-10,0.0,0.0,0.0
-6,t,anti_top,-0.6666666666666666,0,T,172500.0,700.0,700.0,1420.0,150.0,190.0
-5,b,anti_bottom,0.3333333333333333,0,B,4180.0,20.0,30.0,-,-,-
-4,c,anti_charm,-0.6666666666666666,0,C,1270.0,20.0,20.0,-,-,-
-3,s,anti_strange,0.3333333333333333,0,S,93.4,3.4,8.6,-,-,-
-2,u,anti_up,-0.6666666666666666,0,U,2.16,0.3,0.5,-,-,-
-1,d,anti_down,0.3333333333333333,0,D,4.67,0.2,0.5,-,-,-
1,d,down,-0.3333333333333333,0,d,4.67,0.2,0.5,-,-,-
2,u,up,0.6666666666666666,0,u,2.16,0.3,0.5,-,-,-
3,s,strange,-0.3333333333333333,0,s,93.4,3.4,8.6,-,-,-
4,c,charm,0.6666666666666666,0,c,1270.0,20.0,20.0,-,-,-
5,b,bottom,-0.3333333333333333,0,b,4180.0,20.0,30.0,-,-,-
6,t,top,0.6666666666666666,0,t,172500.0,700.0,700.0,1420.0,150.0,190.0
11,e,electron,-1.0,0,-,0.51099895,1.5e-10,1.5e-10,0.0,0.0,0.0
12,nu(e),electron_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0
13,mu,muon,-1.0,0,-,105.6583755,2.3e-06,2.3e-06,2.9959836e-16,3e-22,3e-22
14,nu(mu),muon_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0
15,tau,tau,-1.0,0,-,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12
16,nu(tau),tau_netrino,0.0,0,-,-,-,-,0.0,0.0,0.0
21,g,gluon,0.0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
22,gamma,photon,0.0,0,-,0.0,0.0,0.0,0.0,0.0,0.0
23,Z,Z0,0.0,0,-,91187.6,2.1,2.1,2495.2,2.3,2.3
24,W,W+,1.0,0,-,80379.0,12.0,12.0,2080.0,40.0,40.0
25,H,higgs,0.0,0,-,125250.0,170.0,170.0,3.2,2.2,2.8
111,pi,pion-,0.0,0,(uU-dD)/sqrt(2),134.9768,0.0005,0.0005,7.81e-06,1.2e-07,1.2e-07
211,pi,pion+,1.0,0,uD,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18
321,K,kaon+,1.0,0,uS,493.677,0.016,0.016,5.317e-14,9e-17,9e-17
2112,n,neutron,0.0,4,udd,939.5654205,5e-07,5e-07,7.493e-25,4e-28,4e-28
2212,p,proton,1.0,4,uud,938.27208816,2.9e-07,2.9e-07,0.0,0.0,0.0
3112,Sigma,sigma-,-1.0,4,dds,1197.449,0.03,0.03,4.45e-12,3.2e-14,3.2e-14
3122,Lambda,lambda0,0.0,4,uds,1115.683,0.006,0.006,2.501e-12,1.9e-14,1.9e-14
3212,Sigma,sigma0,0.0,4,uds,1192.642,0.024,0.024,0.0089,0.0008,0.0009
3222,Sigma,sigma+,1.0,4,uus,1189.37,0.07,0.07,8.209e-12,2.7e-14,2.7e-14
3312,Xi,xi-,-1.0,4,dss,1321.71,0.07,0.07,4.02e-12,4e-14,4e-14
3322,Xi,xi0,0.0,4,uss,1314.86,0.2,0.2,2.27e-12,7e-14,7e-14
3334,Omega,omega-,-1.0,4,sss,1672.45,0.29,0.29,8.02e-12,1.1e-13,1.1e-13
